"dt"	"level"	"Alice"	"Bob"
2014-07-13	26	13750	0
2014-07-13	27	10570	0
2014-07-13	28	12500	0
2014-07-13	29	9560	0
2014-07-13	30	11510	0
2014-07-13	31	13260	0
2014-07-13	32	10720	0
2014-07-13	33	12770	0
2014-07-13	34	12850	0
2014-07-13	35	14130	0
2014-07-13	36	0	0
2014-07-13	37	0	0
2014-07-13	38	0	0
2014-07-13	39	0	0
2014-07-13	40	0	0
2014-07-13	41	0	0
2014-07-13	42	0	0
2014-07-13	43	0	0
2014-07-13	44	0	0
2014-07-13	45	0	0
2014-07-13	46	0	0
2014-07-13	47	0	0
2014-07-13	48	0	0
2014-07-13	49	0	0
2014-07-14	1	15430	0
2014-07-14	2	6490	0
2014-07-14	3	10890	0
2014-07-14	4	14030	0
2014-07-14	5	14380	0
2014-07-14	6	11960	0
2014-07-14	7	10860	0
2014-07-14	8	15230	0
2014-07-14	9	13200	0
2014-07-14	10	9650	0
2014-07-14	11	11620	0
2014-07-14	12	10800	0
2014-07-14	13	8980	0
2014-07-14	14	11200	0
2014-07-14	15	7620	0
2014-07-14	16	10760	0
2014-07-14	17	9620	0
2014-07-14	18	17720	0
2014-07-14	19	13250	0
2014-07-14	20	14460	0
2014-07-14	21	19410	0
2014-07-14	22	11810	0
2014-07-14	23	12880	0
2014-07-14	24	10150	0
2014-07-14	25	9240	0
2014-07-14	26	13750	0
2014-07-14	27	10570	0
2014-07-14	28	12500	0
2014-07-14	29	9560	0
2014-07-14	30	11510	0
2014-07-14	31	13260	0
2014-07-14	32	10720	0
2014-07-14	33	12770	0
2014-07-14	34	12850	0
2014-07-14	35	14290	0
2014-07-14	36	0	0
2014-07-14	37	0	0
2014-07-14	38	0	0
2014-07-14	39	0	0
2014-07-14	40	0	0
2014-07-14	41	0	0
2014-07-14	42	0	0
2014-07-14	43	0	0
2014-07-14	44	0	0
2014-07-14	45	0	0
2014-07-14	46	0	0
2014-07-14	47	0	0
2014-07-14	48	0	0
2014-07-14	49	0	0
2014-07-15	1	15430	7840
2014-07-15	2	6490	6810
2014-07-15	3	10890	8460
2014-07-15	4	14030	12020
2014-07-15	5	14380	11010
2014-07-15	6	11960	9540
2014-07-15	7	10860	0
2014-07-15	8	15230	0
2014-07-15	9	13200	0
2014-07-15	10	9650	0
2014-07-15	11	11620	0
2014-07-15	12	10800	0
2014-07-15	13	8980	0
2014-07-15	14	11200	0
2014-07-15	15	7620	0
2014-07-15	16	10760	0
2014-07-15	17	9620	0
2014-07-15	18	17720	0
2014-07-15	19	13250	0
2014-07-15	20	14460	0
2014-07-15	21	19410	0
2014-07-15	22	11810	0
2014-07-15	23	12880	0
